iter	RMSE
0	21602.09826
1	20354.3221
2	19302.64733
3	18318.35644
4	17456.37
5	16708.13129
6	16018.04226
7	15408.67338
8	14938.75389
9	14429.18842
10	14028.87892
11	13653.46328
12	13360.94871
13	13022.77282
14	12760.06815
15	12491.07151
16	12275.16628
17	12082.91043
18	11898.59396
19	11725.59453
20	11582.26105
21	11461.32531
22	11332.99903
23	11228.78583
24	11108.61624
25	10986.40963
26	10870.78276
27	10796.32396
28	10705.79305
29	10623.41263
30	10560.02155
31	10463.12252
32	10411.2354
33	10333.96467
34	10259.31354
35	10189.13122
36	10108.12031
37	10059.09224
38	9997.848966
39	9948.629457
40	9884.938581
41	9848.5971
42	9776.642394
43	9733.221485
44	9688.061038
45	9650.273607
46	9604.632829
47	9559.73972
48	9516.59065
49	9485.861679
50	9444.357931
51	9412.342521
52	9382.859775
53	9346.526233
54	9307.320723
55	9275.24481
56	9252.056454
57	9224.201733
58	9193.031744
59	9174.179355
60	9146.869336
61	9125.817038
62	9097.859834
63	9075.089258
64	9046.392789
65	9015.519991
66	8988.240642
67	8962.750284
68	8938.684758
69	8917.688239
70	8897.710125
71	8880.562598
72	8855.827296
73	8830.648517
74	8809.752264
75	8788.9703
76	8773.921638
77	8761.516713
78	8737.28087
79	8719.926525
80	8702.76021
81	8688.392942
82	8672.718477
83	8651.335824
84	8633.143638
85	8609.976221
86	8595.974833
87	8585.102967
88	8574.2033
89	8560.69227
90	8543.165582
91	8528.62101
92	8516.705699
93	8502.622928
94	8495.207454
95	8479.492179
96	8466.636321
97	8448.075323
98	8432.479677
99	8418.734944
