iter	Passed	Remaining
0	119	11836
1	250	12257
2	388	12559
3	517	12414
4	642	12210
5	766	12010
6	894	11885
7	1019	11725
8	1147	11601
9	1255	11296
10	1366	11055
11	1482	10871
12	1610	10780
13	1741	10698
14	1874	10620
15	2002	10514
16	2134	10419
17	2264	10318
18	2397	10219
19	2528	10115
20	2657	9998
21	2784	9873
22	2914	9757
23	3043	9636
24	3165	9496
25	3276	9326
26	3430	9275
27	3569	9178
28	3698	9055
29	3828	8934
30	3953	8800
31	4074	8657
32	4206	8540
33	4333	8411
34	4465	8293
35	4605	8187
36	4744	8079
37	4885	7971
38	5030	7867
39	5182	7773
40	5334	7676
41	5486	7576
42	5642	7479
43	5787	7365
44	5930	7248
45	6063	7118
46	6193	6984
47	6326	6853
48	6473	6738
49	6611	6611
50	6763	6498
51	6913	6382
52	7057	6258
53	7184	6119
54	7323	5991
55	7436	5842
56	7564	5706
57	7692	5570
58	7824	5437
59	7972	5315
60	8108	5184
61	8242	5052
62	8386	4925
63	8515	4789
64	8656	4661
65	8797	4531
66	8933	4400
67	9078	4272
68	9206	4136
69	9343	4004
70	9458	3863
71	9598	3732
72	9724	3596
73	9867	3466
74	9999	3333
75	10142	3202
76	10273	3068
77	10415	2937
78	10561	2807
79	10729	2682
80	10899	2556
81	11068	2429
82	11241	2302
83	11383	2168
84	11565	2041
85	11702	1904
86	11828	1767
87	11958	1630
88	12106	1496
89	12245	1360
90	12382	1224
91	12521	1088
92	12657	952
93	12796	816
94	12932	680
95	13076	544
96	13206	408
97	13347	272
98	13468	136
99	13601	0
